keyword,sellers_number
shea moisture,1377
conditioner,75264
hair gel,17309
heat protectant for hair,1856
hair straightener cream,1116
curtain rod,1836
hangers,33813
dish rack,1665
dish drying rack,3677
spoon,75765
spoon and fork set,23607
cutlery set,67376
office accessories for desk,925
makeup organizer,1824
???? ?????,15
????,12984
wall decor,210512
wall art,672
puzzle,411
cockroach killer,1524
baking soda,864
cockroach gel,1619
cockroach,3015
advion roach gel killer,186
advion,1776
medicine,10995
cat toys,875
glass jar,12579
bowl,1659
hair mask,1919
?????,15
????? ???????? ???????,0
earrings,1212
swarovski,1243
ring for men,19483
silver chain for men,607
necklace,1263
faber castell,1346
essential oil,33896
massage oil,7187
oil,1524
castor oil,5828
diffuser,838
hair oil,1854
coconut,17136
a4 notebook,2512
notebook a4,2511
?????,15
pencil case for boys,1902
ruler,10270
extension cord,1766
extension,892
extension socket,895
extension board,2824
adapter,1740
universal adapter,1724
travel adapter,1707
highlighter,1946
blush,1879
?????,15
catrice,1833
sephora,1452
rimmel london,347
pads,857
sanitary pads,1080
always,12642
always sanitary pads,1080
period panty,466
toilet roll,10977
diaper,1124
toilet paper,819
tissue roll,8148
feminine wash,1746
cotton pads for face,1806
viva,777
hair growth serum,930
hair wax,944
sticky notes,4991
board games,538
roblox,1419
uno,0
cricket,5907
kids,1414
????? ?????,15
????? ????? ????,15
cigarettes,1317
hello kitty,930
rosemary oil,952
shampoo and conditioner,1700
narciso rodriguez for her,501
??? ?????,14400
???? ??????,4831
perfume women,1038
women perfume,8006
????,12984
ladies perfume,655
???,12780
fragrance,0
dior perfume,1743
chanel,6385
dior,1743
edp perfumes for men,673
roberto cavalli perfume,1068
??? ?????,14400
mens perfume,467
fragrances men,86686
???? ??????,4831
parfum for men,1420
burberry perfume,1054
chanel perfume,829
perfumes for men,477
perfume for men,477
rolex watches for men,835
gifts for men,1915
omega watch,70
????? ??????,15
???? ?????,15
sports watch for men,12557
al baik,2
man watch,66988
wrist watches for men,681
auto watch men,1641
women,698
benyar watch for men,1299
skmei watch men,958
men watches offer,769
birthday gifts for men,814
mens watches,66980
branded watches for men,1457
????,12984
office shoes for men,659
clothes,33968
lingerie hot,684
lingerie,748
night dress for ladies,409
bangles for ladies,1807
car washing pressure pump,682
generic,960
pressure washer,1438
shisha,637
drill machine,2761
drill,829
screwdriver,14189
screwdriver set,7236
gift bag,83744
gift wrapping paper,11727
bath and body works gift set,1893
bath bomb,975
gift for men,1915
boxing gloves,4251
football,60333
???? ??? ???,4027
football shoes kids,5193
football shoes for men,8586
basketball,861
jersey football,589
gold ring 22k,147
gold ring,1091
gold chain 22k,172
malabar gold and diamonds,1582
gold coin,1886
???,12780
jewelry,1014
lunch bag for ladies,1283
biotin,1775
melatonin gummies,1208
???????,2
oziva,146
melatonin,902
collagen supplements,723
????? ?????,15
olaplex,887
kerastase,999
hair curler,879
hair dye,16654
???? ???,4062
???? ??? ????? ?? ????????,14400
garnier hair color,936
loreal hair color,1806
scissors,1693
ladies bag,12821
sling bag for ladies,973
laundry rack,1623
???? ???? ?????,15
cloth drying stand,4577
drying rack,8364
plants,1822
artificial plant with pot,4915
plant,1822
artificial flower,928
flower,506487
plant pot,1701
oil burner,880
glass pipe,1213
smoking pipe,1657
aquarium accessories,721
glass straw,6542
teapot,1715
pens,1688
eraser,1783
vase,1848
flower vase,1792
wall shelf,16323
lights,576243
pharmacy,650
honey,20393
avocado,5156
birthday cake,1675
ferrero rocher,1711
